MsgID.GLOBAL_POSITION,0.0000000,-122.3974518,37.7924794,2.9160000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,-0.0100000,-4.3200000
MsgID.LOCAL_POSITION,56.7800000,-0.0611889,-0.1671108,-2.9166920
MsgID.LOCAL_VELOCITY,56.7800000,-0.0103131,-0.0132508,-4.3251548
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_POSITION,0.0000000,-122.3974505,37.7924791,3.9060000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-4.3000000
MsgID.LOCAL_POSITION,57.0300000,-0.0967924,-0.0494960,-3.9060850
MsgID.LOCAL_VELOCITY,57.0300000,-0.0065155,0.0006580,-4.3060622
MsgID.GLOBAL_POSITION,0.0000000,-122.3974492,37.7924791,4.9940000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-3.4400000
MsgID.LOCAL_POSITION,57.2800000,-0.0936053,0.0647265,-4.9945970
MsgID.LOCAL_VELOCITY,57.2800000,-0.0021329,-0.0001775,-3.4462295
MsgID.GLOBAL_POSITION,0.0000000,-122.3974494,37.7924800,5.4820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-1.0200000
MsgID.LOCAL_POSITION,57.5300000,0.0104877,0.0457150,-5.4820280
MsgID.LOCAL_VELOCITY,57.5300000,-0.0020120,-0.0001675,-1.0259029
MsgID.GLOBAL_POSITION,0.0000000,-122.3974480,37.7924794,5.3730000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0500000,1.4000000
MsgID.LOCAL_POSITION,57.7800000,-0.0595447,0.1712699,-5.3732514
MsgID.LOCAL_VELOCITY,57.7800000,-0.0033863,0.0554682,1.4007622
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.LOCAL_POSITION,58.0300000,-0.2339020,0.1223538,-4.9345632
MsgID.LOCAL_VELOCITY,58.0300000,0.1198979,0.6896026,1.5503529
MsgID.GLOBAL_POSITION,0.0000000,-122.3974486,37.7924778,4.9340000
MsgID.LOCAL_VELOCITY,0.0000000,0.1100000,0.6800000,1.5500000
MsgID.LOCAL_POSITION,58.2800000,-0.0190592,0.4035648,-4.7655568
MsgID.LOCAL_VELOCITY,58.2800000,1.8280087,1.4839482,-0.4258714
MsgID.GLOBAL_POSITION,0.0000000,-122.3974454,37.7924798,4.7650000
MsgID.LOCAL_VELOCITY,0.0000000,1.8200000,1.4800000,-0.4200000
MsgID.LOCAL_POSITION,58.5300000,0.5681286,0.7364070,-4.9570379
MsgID.LOCAL_VELOCITY,58.5300000,2.2433150,1.3166713,-0.7928448
MsgID.GLOBAL_POSITION,0.0000000,-122.3974417,37.7924851,4.9570000
MsgID.LOCAL_VELOCITY,0.0000000,2.2400000,1.3100000,-0.7900000
MsgID.LOCAL_POSITION,58.7800000,1.2023178,1.0601081,-5.0125384
MsgID.LOCAL_VELOCITY,58.7800000,1.5950567,1.2169031,0.2613870
MsgID.GLOBAL_POSITION,0.0000000,-122.3974380,37.7924908,5.0120000
MsgID.LOCAL_VELOCITY,0.0000000,1.5900000,1.2100000,0.2600000
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_POSITION,0.0000000,-122.3974344,37.7924925,4.9570000
MsgID.LOCAL_VELOCITY,0.0000000,0.8000000,1.4400000,0.1700000
MsgID.LOCAL_POSITION,59.0300000,1.3956385,1.3866230,-4.9576468
MsgID.LOCAL_VELOCITY,59.0300000,0.8056832,1.4495195,0.1755289
