MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932812,0.1190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,117.5490000,-0.0523998,-0.0001966,-0.1192940
MsgID.LOCAL_VELOCITY,117.5490000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932829,0.1080000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,117.7990000,0.1286711,-0.0008278,-0.1089875
MsgID.LOCAL_VELOCITY,117.7990000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957515,37.7932817,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957519,37.7932819,0.0900000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,118.0490000,0.0224358,-0.0375012,-0.0908856
MsgID.LOCAL_VELOCITY,118.0490000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957505,37.7932824,0.0610000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,118.2990000,0.0727918,0.0872545,-0.0611515
MsgID.LOCAL_VELOCITY,118.2990000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957506,37.7932824,0.0300000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,118.5490000,0.0790912,0.0797625,-0.0300940
MsgID.LOCAL_VELOCITY,118.5490000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957518,37.7932805,-0.0070000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,118.8000000,-0.1299323,-0.0263667,0.0075966
